event_cause,zone,junction,police_station,veh_type,latitude,longitude,duration_minutes,requires_road_closure
vehicle_breakdown,Unknown,Unknown,Banashankari,others,12.9238693,77.5536044,141,0
tree_fall,Unknown,Unknown,Chamarajpet,Unknown,12.9601533,77.5633429,13203,0
tree_fall,Unknown,Unknown,Chamarajpet,Unknown,12.9578001,77.5631189,13212,0
vehicle_breakdown,Unknown,Unknown,City Market,private_bus,12.95836,77.5776317,128,0
vehicle_breakdown,Unknown,Unknown,Adugodi,lcv,12.9360494,77.6154975,125,1
vehicle_breakdown,Unknown,Unknown,Banaswadi,bmtc_bus,13.0190323,77.654465,167,0
congestion,Unknown,Unknown,Kodigehalli,Unknown,13.0446713,77.5828869,167,0
vehicle_breakdown,Unknown,Unknown,Madiwala,bmtc_bus,12.9119892,77.6254956,140,0
vehicle_breakdown,Unknown,Unknown,Kamakshipalya,heavy_vehicle,12.9893579,77.5064443,159,0
vehicle_breakdown,Unknown,Unknown,Sadashivanagar,lcv,13.0152581,77.5639687,166,0
tree_fall,Unknown,Unknown,Basavanagudi,Unknown,12.9392829,77.5596125,62,1
vehicle_breakdown,Unknown,Unknown,Chamarajpet,lcv,12.9614398,77.5600867,102,0
vehicle_breakdown,Unknown,Unknown,Madiwala,bmtc_bus,12.9194445,77.6215536,150,0
accident,Unknown,Unknown,Electronic City,Unknown,12.8400906,77.6764868,114,0
accident,Unknown,Unknown,Chikkabanavara,Unknown,13.042636,77.5147881,83,0
vehicle_breakdown,Unknown,Unknown,Mico Layout,heavy_vehicle,12.9110914,77.6001308,139,0
vehicle_breakdown,Unknown,Unknown,Yelahanka,heavy_vehicle,13.114305,77.60655,103,0
vehicle_breakdown,Unknown,Unknown,Kamakshipalya,bmtc_bus,12.9900159,77.5025425,106,0
accident,Unknown,Unknown,Chikkabanavara,Unknown,13.0424443,77.5147257,81,0
vehicle_breakdown,Unknown,Unknown,Madiwala,heavy_vehicle,12.9216832,77.6199372,75,1
vehicle_breakdown,Unknown,Unknown,Kodigehalli,lcv,13.0427379,77.5892891,164,0
vehicle_breakdown,Unknown,Unknown,Yeshwanthpura,heavy_vehicle,13.0308555,77.5359082,177,0
vehicle_breakdown,Unknown,Unknown,Halasuru Gate,private_bus,12.9625526,77.5916298,120,0
vehicle_breakdown,Unknown,Unknown,Halasuru Gate,bmtc_bus,12.9690624,77.5872736,112,1
tree_fall,Unknown,Unknown,Chamarajpet,Unknown,12.961311,77.55932,13119,1
vehicle_breakdown,Unknown,Unknown,Jayanagara,bmtc_bus,12.9173038,77.5882958,146,0
vehicle_breakdown,Unknown,Unknown,Mico Layout,heavy_vehicle,12.9113626,77.5999548,156,0
vehicle_breakdown,Unknown,Unknown,Byatarayanapura,heavy_vehicle,12.9353705,77.5182037,152,0
tree_fall,Unknown,Unknown,Jayanagara,Unknown,12.9216444,77.5940415,17,1
vehicle_breakdown,Unknown,Unknown,HAL Old Airport,lcv,12.9246541,77.6497438,155,0
vehicle_breakdown,Unknown,Unknown,Halasur,others,12.9635928,77.6263774,128,0
vehicle_breakdown,Unknown,Unknown,Yeshwanthpura,private_bus,13.0310785,77.5357035,125,0
vehicle_breakdown,Unknown,Unknown,Electronic City,bmtc_bus,12.8700974,77.6533824,53,0
vehicle_breakdown,Unknown,Unknown,High ground,others,12.9832059,77.5766759,143,0
tree_fall,Unknown,Unknown,R.T. Nagar,Unknown,13.022765,77.6014354,178,1
vehicle_breakdown,Unknown,Unknown,Rajajinagar,bmtc_bus,13.0071299,77.5267687,173,0
vehicle_breakdown,Unknown,Unknown,Yeshwanthpura,ksrtc_bus,13.0264,77.544019,153,0
vehicle_breakdown,Unknown,Unknown,HAL Old Airport,lcv,12.9245044,77.6502426,151,0
vehicle_breakdown,Unknown,Unknown,Jnanabharathi,truck,12.9664142,77.5125512,12,0
vehicle_breakdown,Unknown,Unknown,Magadi Road,auto,12.9758786,77.5643384,25,0
vehicle_breakdown,Unknown,Unknown,Chamarajpet,bmtc_bus,12.9641027,77.5700324,129,0
tree_fall,Unknown,Unknown,J.P. Nagar,Unknown,12.9124656,77.5805324,1228,0
vehicle_breakdown,Unknown,Unknown,Bellandur,lcv,12.9228317,77.6575101,166,0
vehicle_breakdown,Unknown,Unknown,Peenya,lcv,13.0378641,77.5222897,86,0
vehicle_breakdown,Unknown,Unknown,Chamarajpet,heavy_vehicle,12.9583476,77.5547336,179,0
vehicle_breakdown,Unknown,Unknown,HSR Layout,heavy_vehicle,12.8895087,77.6408236,147,0
vehicle_breakdown,Unknown,Unknown,HSR Layout,heavy_vehicle,12.8895337,77.640687,140,0
vehicle_breakdown,Unknown,Unknown,Sheshadripuram,auto,12.9847423,77.574706,165,0
vehicle_breakdown,Unknown,Unknown,Peenya,bmtc_bus,13.0229252,77.5099725,124,0
vehicle_breakdown,Unknown,Unknown,HSR Layout,heavy_vehicle,12.8894616,77.6407007,138,0
vehicle_breakdown,Unknown,Unknown,Hebbala,bmtc_bus,13.0436683,77.6067467,19,0
vehicle_breakdown,Unknown,Unknown,Sadashivanagar,lcv,13.0145688,77.5835164,24,0
vehicle_breakdown,Unknown,Unknown,Yeshwanthpura,lcv,13.0186759,77.5588615,37,0
vehicle_breakdown,Unknown,Unknown,Byatarayanapura,ksrtc_bus,12.9494883,77.5368741,23,1
vehicle_breakdown,Unknown,Unknown,R.T. Nagar,others,13.0229482,77.601028,104,0
vehicle_breakdown,Unknown,Unknown,High ground,private_bus,12.9928917,77.5854867,86,0
vehicle_breakdown,Unknown,Unknown,Jeevanbheemanagar,private_car,12.9625233,77.6415686,71,0
vehicle_breakdown,Unknown,Unknown,Yelahanka,heavy_vehicle,13.0976738,77.5990251,128,0
vehicle_breakdown,Unknown,Unknown,Yelahanka,heavy_vehicle,13.1151883,77.6067482,148,0
vehicle_breakdown,Unknown,Unknown,Magadi Road,bmtc_bus,12.97447,77.5492,169,0
vehicle_breakdown,Unknown,Unknown,Chikkabanavara,lcv,13.0488954,77.4970171,35,0
vehicle_breakdown,Unknown,Unknown,Kamakshipalya,heavy_vehicle,12.9891874,77.5070709,73,0
vehicle_breakdown,Unknown,Unknown,Mico Layout,bmtc_bus,12.9160564,77.6160829,127,0
vehicle_breakdown,Unknown,Unknown,Byatarayanapura,heavy_vehicle,12.9532283,77.538385,171,0
vehicle_breakdown,Unknown,Unknown,Wilson Garden,bmtc_bus,12.9446407,77.5969852,79,0
vehicle_breakdown,Unknown,Unknown,Peenya,lcv,13.0407502,77.5174141,166,0
vehicle_breakdown,Unknown,Unknown,Jalahalli,truck,13.0414238,77.545608,138,0
vehicle_breakdown,Unknown,Unknown,Jeevanbheemanagar,lcv,12.95983785,77.64811735,28,0
congestion,Unknown,Unknown,Kodigehalli,Unknown,13.0446065,77.5828293,153,0
vehicle_breakdown,Unknown,Unknown,Jayanagara,bmtc_bus,12.9197329,77.5835635,93,0
vehicle_breakdown,Unknown,Unknown,Kamakshipalya,heavy_vehicle,12.9886918,77.519831,123,0
vehicle_breakdown,Unknown,Unknown,Chamarajpet,heavy_vehicle,12.9595376,77.5557817,158,0
vehicle_breakdown,Unknown,Unknown,Pulikeshinagar(F.Town),others,12.993901,77.6190564,170,0
vehicle_breakdown,Unknown,Unknown,Sadashivanagar,lcv,12.9988047,77.5839954,179,0
vehicle_breakdown,Unknown,Unknown,Electronic City,others,12.8885722,77.640446,11,0
vehicle_breakdown,Unknown,Unknown,Byatarayanapura,bmtc_bus,12.9541849,77.5435568,66,0
vehicle_breakdown,Unknown,Unknown,Sheshadripuram,bmtc_bus,12.9895932,77.5723117,159,0
congestion,Unknown,Unknown,Kodigehalli,Unknown,13.0446065,77.5828293,153,0
vehicle_breakdown,Unknown,Unknown,Madiwala,private_bus,12.9013118,77.6322397,75,0
vehicle_breakdown,Unknown,Unknown,Halasur,heavy_vehicle,12.972653,77.6185064,168,0
vehicle_breakdown,Unknown,Unknown,Basavanagudi,bmtc_bus,12.9415222,77.5603107,154,0
vehicle_breakdown,Unknown,Unknown,High ground,private_car,12.9904041,77.5993848,179,0
vehicle_breakdown,Unknown,Unknown,Mahadevapura,lcv,12.9915317,77.7140583,253,0
vehicle_breakdown,Unknown,Unknown,Byatarayanapura,heavy_vehicle,12.9450066,77.5274017,145,0
vehicle_breakdown,Unknown,Unknown,Yelahanka,heavy_vehicle,13.114945,77.60684,160,0
vehicle_breakdown,Unknown,Unknown,Yeshwanthpura,others,13.0176948,77.553788,22,0
vip_movement,Unknown,Unknown,Halasuru Gate,Unknown,12.9643399,77.5855341,51,0
tree_fall,Unknown,Unknown,Jnanabharathi,Unknown,12.9441328,77.5010682,105,1
tree_fall,Unknown,Unknown,Electronic City,Unknown,12.8785528,77.6720521,2198,0
vehicle_breakdown,Unknown,Unknown,Halasuru Gate,lcv,12.9643404,77.5855854,58,0
tree_fall,Unknown,Unknown,Electronic City,Unknown,12.8785573,77.6719048,2195,0
congestion,Unknown,Unknown,Kodigehalli,Unknown,13.044562,77.583011,141,0
vehicle_breakdown,Unknown,Unknown,Yeshwanthpura,bmtc_bus,13.0317076,77.5355328,123,0
vehicle_breakdown,Unknown,Unknown,Peenya,heavy_vehicle,13.0451384,77.5070153,33,0
vehicle_breakdown,Unknown,Unknown,Byatarayanapura,private_bus,12.9474732,77.5340694,40,0
vehicle_breakdown,Unknown,Unknown,Electronic City,private_bus,12.850847,77.6685139,154,0
vehicle_breakdown,Unknown,Unknown,No Police Station,heavy_vehicle,13.0623222,77.459163,131,0
vehicle_breakdown,Unknown,Unknown,Peenya,private_car,13.0355513,77.5265219,10,0
tree_fall,Unknown,Unknown,Jayanagara,Unknown,12.92335,77.58296,66,1
vehicle_breakdown,Unknown,Unknown,HAL Old Airport,bmtc_bus,12.9390583,77.6946217,19,0
tree_fall,Unknown,Unknown,Electronic City,Unknown,12.8509801,77.6601903,64,0
congestion,Unknown,Unknown,Kamakshipalya,Unknown,12.9891497,77.5077437,126,0
tree_fall,Unknown,Unknown,Jayanagara,Unknown,12.9232313,77.5904837,42,1
vehicle_breakdown,Unknown,Unknown,Hennuru,private_car,13.0357481,77.6283566,170,0
vehicle_breakdown,Unknown,Unknown,Electronic City,heavy_vehicle,12.8196613,77.6877212,164,0
vehicle_breakdown,Unknown,Unknown,Cubbon Park,auto,12.971535,77.5941929,177,0
vehicle_breakdown,Unknown,Unknown,Ashok Nagar,lcv,12.96652735,77.60810502,66,0
vehicle_breakdown,Unknown,Unknown,Bellandur,bmtc_bus,12.926187,77.6772301,14,0
vehicle_breakdown,Unknown,Unknown,Sadashivanagar,private_bus,13.0077773,77.5838076,165,0
vehicle_breakdown,Unknown,Unknown,Vijayanagara,bmtc_bus,12.9750878,77.5481342,122,0
vehicle_breakdown,Unknown,Unknown,Yeshwanthpura,others,13.029877,77.5377738,31,0
vehicle_breakdown,Unknown,Unknown,HAL Old Airport,lcv,12.9340271,77.6892659,167,0
vehicle_breakdown,Unknown,Unknown,Electronic City,heavy_vehicle,12.8353407,77.6791817,19,0
vehicle_breakdown,Unknown,Unknown,Mico Layout,lcv,12.9163498,77.6122067,77,0
vehicle_breakdown,Unknown,Unknown,R.T. Nagar,lcv,12.9948294,77.6040054,179,0
accident,Unknown,Unknown,Yelahanka,Unknown,13.0775201,77.5924027,101,0
congestion,Unknown,Unknown,Kodigehalli,Unknown,13.0445011,77.5830561,143,0
vehicle_breakdown,Unknown,Unknown,Magadi Road,bmtc_bus,12.9754467,77.548252,160,0
vehicle_breakdown,Unknown,Unknown,Chamarajpet,bmtc_bus,12.960507,77.5575071,158,0
vehicle_breakdown,Unknown,Unknown,High ground,private_car,12.9963786,77.584919,124,0
vehicle_breakdown,Unknown,Unknown,High ground,lcv,12.9976941,77.584432,167,0
vehicle_breakdown,Unknown,Unknown,No Police Station,truck,13.075025,77.4360233,32,0
vehicle_breakdown,Unknown,Unknown,Kodigehalli,ksrtc_bus,13.0565314,77.5934723,174,0
accident,Unknown,Unknown,R.T. Nagar,Unknown,13.0252215,77.5854385,78,1
vehicle_breakdown,Unknown,Unknown,No Police Station,truck,13.0624083,77.459675,131,0
vehicle_breakdown,Unknown,Unknown,Electronic City,bmtc_bus,12.8764512,77.6715527,177,0
vehicle_breakdown,Unknown,Unknown,Hulimavu,bmtc_bus,12.8912876,77.6260666,173,0
vehicle_breakdown,Unknown,Unknown,Byatarayanapura,heavy_vehicle,12.9520875,77.5407653,16,0
vehicle_breakdown,Unknown,Unknown,Yeshwanthpura,heavy_vehicle,13.0300435,77.5375531,161,0
accident,Unknown,Unknown,Jeevanbheemanagar,Unknown,12.9595784,77.6492766,36,0
vehicle_breakdown,Unknown,Unknown,HAL Old Airport,truck,12.9557117,77.6916217,27,0
vehicle_breakdown,Unknown,Unknown,Sadashivanagar,lcv,13.010814,77.5836806,132,0
vehicle_breakdown,Unknown,Unknown,Chikkabanavara,heavy_vehicle,13.04648015,77.50384754,133,0
vehicle_breakdown,Unknown,Unknown,Yelahanka,lcv,13.0765895,77.5923254,161,0
vehicle_breakdown,Unknown,Unknown,Bellandur,others,12.92071012,77.66535994,176,0
vehicle_breakdown,Unknown,Unknown,No Police Station,lcv,13.055969,77.4760833,147,0
vehicle_breakdown,Unknown,Unknown,K.R. Pura,lcv,13.0200506,77.7094059,35,0
vehicle_breakdown,Unknown,Unknown,Byatarayanapura,bmtc_bus,12.9556427,77.545929,155,0
vehicle_breakdown,Unknown,Unknown,Sheshadripuram,ksrtc_bus,12.9964726,77.5845948,128,1
vehicle_breakdown,Unknown,Unknown,Yeshwanthpura,heavy_vehicle,13.026353,77.544093,178,0
vehicle_breakdown,Unknown,Unknown,J.P. Nagar,private_car,12.9061591,77.5856052,20,0
vehicle_breakdown,Unknown,Unknown,High ground,ksrtc_bus,12.9964326,77.5846186,142,0
vehicle_breakdown,Unknown,Unknown,Kodigehalli,bmtc_bus,13.0471823,77.5687914,136,0
vehicle_breakdown,Unknown,Unknown,Sheshadripuram,ksrtc_bus,12.9964147,77.5846199,123,0
vehicle_breakdown,Unknown,Unknown,Magadi Road,lcv,12.981767,77.5601309,169,0
vehicle_breakdown,Unknown,Unknown,Jnanabharathi,bmtc_bus,12.9725476,77.5079739,161,0
accident,Unknown,Unknown,Chamarajpet,Unknown,12.9735765,77.5693008,78,0
vehicle_breakdown,Unknown,Unknown,Hennuru,others,13.022045,77.6497867,171,0
vehicle_breakdown,Unknown,Unknown,Banashankari,truck,12.9354371,77.536311,36,0
vehicle_breakdown,Unknown,Unknown,Kodigehalli,taxi,13.0690187,77.5928063,174,0
congestion,Unknown,Unknown,Whitefield,Unknown,12.9397541,77.7473664,156,0
vehicle_breakdown,Unknown,Unknown,High ground,others,12.9859956,77.5893687,145,0
vehicle_breakdown,Unknown,Unknown,Electronic City,lcv,12.8878816,77.6407286,32,0
vehicle_breakdown,Unknown,Unknown,Peenya,bmtc_bus,13.0451892,77.5070112,132,0
vehicle_breakdown,Unknown,Unknown,HAL Old Airport,others,12.9360198,77.7068567,129,0
vehicle_breakdown,Unknown,Unknown,Chikkabanavara,bmtc_bus,13.0424656,77.5148652,140,0
vehicle_breakdown,Unknown,Unknown,HAL Old Airport,heavy_vehicle,12.9711964,77.6995594,154,0
vehicle_breakdown,Unknown,Unknown,Kamakshipalya,heavy_vehicle,12.9883029,77.509169,172,0
vehicle_breakdown,Unknown,Unknown,Sheshadripuram,bmtc_bus,12.9898004,77.5721914,72,0
vehicle_breakdown,Unknown,Unknown,Madiwala,bmtc_bus,12.92227542,77.61942577,97,0
vehicle_breakdown,Unknown,Unknown,Yelahanka,taxi,13.1092587,77.6039334,160,0
tree_fall,Unknown,Unknown,Kodigehalli,Unknown,13.0386532,77.5740578,508,0
vehicle_breakdown,Unknown,Unknown,Banashankari,others,12.9154072,77.5653126,76,0
vehicle_breakdown,Unknown,Unknown,Kamakshipalya,heavy_vehicle,12.9891588,77.5002047,167,0
congestion,Unknown,Unknown,Kodigehalli,Unknown,13.0454067,77.5804235,154,0
vehicle_breakdown,Unknown,Unknown,Banaswadi,bmtc_bus,13.0107881,77.6620919,170,0
vehicle_breakdown,Unknown,Unknown,Peenya,bmtc_bus,13.0380265,77.5218887,130,0
vehicle_breakdown,Unknown,Unknown,Halasur,taxi,12.961075,77.6373946,10,0
vehicle_breakdown,Unknown,Unknown,Hennuru,others,13.0219533,77.6496153,164,0
accident,Unknown,Unknown,Yelahanka,Unknown,13.0967428,77.5980771,102,0
vehicle_breakdown,Unknown,Unknown,Kodigehalli,lcv,13.03895,77.5895433,11,0
vehicle_breakdown,Unknown,Unknown,Halasuru Gate,bmtc_bus,12.9632521,77.5824056,15303,0
tree_fall,Unknown,Unknown,Halasur,Unknown,12.97457646,77.62552477,5,0
procession,Unknown,Unknown,K.R. Pura,Unknown,13.0081323,77.6928683,135,0
vehicle_breakdown,Unknown,Unknown,Kodigehalli,heavy_vehicle,13.0467793,77.5657141,127,0
vehicle_breakdown,Unknown,Unknown,Yelahanka,heavy_vehicle,13.1083256,77.602945,120,0
vehicle_breakdown,Unknown,Unknown,No Police Station,lcv,13.0686851,77.4480875,172,0
vehicle_breakdown,Unknown,Unknown,Cubbon Park,lcv,12.9834372,77.5910288,175,0
vehicle_breakdown,Unknown,Unknown,Banaswadi,heavy_vehicle,12.9955054,77.6656028,80,0
vehicle_breakdown,Unknown,Unknown,HSR Layout,heavy_vehicle,12.9241031,77.6488026,17,0
vehicle_breakdown,Unknown,Unknown,Byatarayanapura,heavy_vehicle,12.9480061,77.5350513,122,0
vehicle_breakdown,Unknown,Unknown,Yelahanka,heavy_vehicle,13.1219878,77.6106476,160,0
vehicle_breakdown,Unknown,Unknown,Vijayanagara,private_bus,12.9649995,77.5347577,154,0
vehicle_breakdown,Unknown,Unknown,Rajajinagar,ksrtc_bus,12.9979557,77.553242,155,0
vehicle_breakdown,Unknown,Unknown,Pulikeshinagar(F.Town),bmtc_bus,12.9930661,77.6072646,83,0
protest,Unknown,Unknown,Hennuru,Unknown,13.0483496,77.6454296,373,1
vehicle_breakdown,Unknown,Unknown,Byatarayanapura,heavy_vehicle,12.9474857,77.5334546,146,0
vehicle_breakdown,Unknown,Unknown,Mahadevapura,private_car,12.9946463,77.757638,24,0
vehicle_breakdown,Unknown,Unknown,Wilson Garden,heavy_vehicle,12.9389754,77.5982845,178,0
vehicle_breakdown,Unknown,Unknown,Electronic City,bmtc_bus,12.8404633,77.6521017,73,0
vehicle_breakdown,Unknown,Unknown,Kamakshipalya,bmtc_bus,12.990066,77.5051704,72,0
vehicle_breakdown,Unknown,Unknown,Kodigehalli,lcv,13.0332299,77.5882243,93,0
vehicle_breakdown,Unknown,Unknown,Byatarayanapura,bmtc_bus,12.9559289,77.5459051,15,0
vehicle_breakdown,Unknown,Unknown,Kamakshipalya,bmtc_bus,12.9900093,77.5051989,136,0
vehicle_breakdown,Unknown,Unknown,K.R. Pura,ksrtc_bus,13.0198953,77.7095235,13,0
tree_fall,Unknown,Unknown,Malleshwaram,Unknown,13.0085344,77.5715468,2,0
accident,Unknown,Unknown,Mahadevapura,Unknown,12.9991066,77.6747282,82,0
vehicle_breakdown,Unknown,Unknown,Pulikeshinagar(F.Town),bmtc_bus,12.9978016,77.6098254,173,0
vehicle_breakdown,Unknown,Unknown,Chamarajpet,bmtc_bus,12.979657,77.5710764,165,0
vehicle_breakdown,Unknown,Unknown,Yeshwanthpura,heavy_vehicle,13.030071,77.536943,103,0
vehicle_breakdown,Unknown,Unknown,Sadashivanagar,others,13.0140206,77.5675162,166,0
vehicle_breakdown,Unknown,Unknown,Peenya,ksrtc_bus,13.0455545,77.505774,104,0
vehicle_breakdown,Unknown,Unknown,Mahadevapura,lcv,12.99601,77.75823,11,0
vehicle_breakdown,Unknown,Unknown,Jalahalli,lcv,13.0428518,77.5510758,127,0
vehicle_breakdown,Unknown,Unknown,Hebbala,lcv,13.035473,77.5890568,131,0
vehicle_breakdown,Unknown,Unknown,Jnanabharathi,bmtc_bus,12.9519615,77.4996318,80,0
vehicle_breakdown,Unknown,Unknown,No Police Station,others,12.8829772,77.752955,21,0
accident,Unknown,Unknown,Yelahanka,Unknown,13.0982087,77.5712693,1,0
vehicle_breakdown,Unknown,Unknown,No Police Station,truck,13.0738494,77.4396108,141,0
vehicle_breakdown,Unknown,Unknown,Hennuru,lcv,13.0375682,77.6270117,155,0
vehicle_breakdown,Unknown,Unknown,Jnanabharathi,bmtc_bus,12.9605694,77.5042779,17,0
vehicle_breakdown,Unknown,Unknown,Byatarayanapura,bmtc_bus,12.9423299,77.5312866,122,0
vehicle_breakdown,Unknown,Unknown,Cubbon Park,bmtc_bus,12.974095,77.601415,160,0
vehicle_breakdown,Unknown,Unknown,Wilson Garden,others,12.9485683,77.5934648,70,0
vehicle_breakdown,Unknown,Unknown,Byatarayanapura,private_bus,12.9539748,77.5433401,150,0
vehicle_breakdown,Unknown,Unknown,Yeshwanthpura,heavy_vehicle,13.0290051,77.5402099,10,0
vehicle_breakdown,Unknown,Unknown,Banashankari,lcv,12.9287199,77.5454335,160,0
vehicle_breakdown,Unknown,Unknown,R.T. Nagar,auto,13.0102,77.5903783,16,0
vehicle_breakdown,Unknown,Unknown,Jeevanbheemanagar,lcv,12.9592991,77.6545459,41,0
vehicle_breakdown,Unknown,Unknown,Hennuru,private_bus,13.039407,77.6414637,121,0
